Location,Council,Postcode or identifying number (if given),Date figures start from,Date of reply/figures correct to,Days covered,Total PCNs,PCNs 2015-16,Gross income since switched on,Gross income per day,PCNs per day,Gross income 2015-16,Amount charged,Discount for early pay,Any further penalty?,Notes
John Dobson Street Northbound,Newcastle-upon-Tyne,,23/02/2016,31/10/2016,251,"62,975","16,222","£1,495,975.00","£5,960.06",250.9,"£89,910.00",£60.00,£30.00,Can rise to £90 or £98,
Victoria Square,Wolverhampton,Two cameras,30/11/2015,31/3/2016,123,,24979,,"£4,750.15",203.1,"£584,269.00",£60.00,£30.00,,Lane has two cameras. Figure not given for gross. Daily rate calculated from 2015-16 figure.
Eden Street - between junction with Union Street and junction with Brook Street,Kingston upon Thames,UAE01EDEN,13/09/2013,09/01/2017,1214,48334,14360,"£3,231,633.00","£2,661.97",39.8,"£990,454.00",,,,
Portland Street (south west bound),Manchester,,26/02/2016,13/12/2016,291,35176,5445,"£748,058.00","£2,570.65",120.9,"£1,251.00",£60.00,£30.00,,
Tyne Bridge Slip,Newcastle-upon-Tyne,,27/07/2015,31/10/2016,462,"41,726","30,094","£1,076,866.00","£2,330.88",90.3,"£692,402.00",£60.00,£30.00,Can rise to £90 or £98,
Portland Street (north east bound),Manchester,,25/05/2016,13/12/2016,202,21052,3296,"£463,106.00","£2,292.60",104.2,"£1,380.00",£60.00,£30.00,,
London Road - between the junction with Albert Road and Fairfield North,Kingston upon Thames,UAE01LOND,16/09/2013,09/01/2017,1211,31415,7961,"£2,081,221.00","£1,718.60",25.9,"£542,728.00",,,,
Hunts Bank,Manchester,,01/04/2010,13/12/2016,2448,120925,18621,"£3,532,378.00","£1,442.96",49.4,"£572,516.00",£60.00,£30.00,,
Southampton Row/Theobalds Road,Camden,WC1B 4AP,11/08/2011,09/01/2017,1978,39071,7504,"£2,679,879.13","£1,354.84",19.8,"£524,240.21",,,,
Shirley Road,Southampton,SO14 5AR,11/07/2016,02/12/2016,144,8362,0,"£191,490.00","£1,329.79",58.1,£0.00,£60.00,£30.00,Rises to £90 when charge certificate issued,
Warwick Road,Coventry,,01/10/2015,05/12/2016,431,"20,336","12,397","£553,021.49","£1,283.11",47.2,"£366,610.49",£60.00,£30.00,,
Shepherds Bush Rd Southbound,Hammersmith and Fulham,113,01/04/2009,30/11/2016,2800,54681,7381,"£3,543,084.00","£1,265.39",19.5,"£492,180.00",130,65,,
"North Hill, Colchester",Essex,,01/05/2014,08/11/2016,922,53535,17617,"£1,137,690.00","£1,233.94",58.1,"£430,830.00",£60.00,£30.00,Discount if paid within 14 days. Rises to £90 after £28 days,
New Beech Street Hyde,Tameside,SK14 2LS,09/12/2015,17/11/2016,344,10663,7453,"£393,286.00","£1,143.27",31.0,"£195,467.00",£60.00,£30.00,Fine rises to £90 after 28 days,Figures not broken down for bus lanes. 
Staines Road,Hounslow,TW4 4BA,01/03/2011,31/12/2016,2132,33158,5623,"£2,198,803.86","£1,031.33",15.6,"£440,307.92",130,65,,
"Embankment Road (Outbound), Plymouth",Plymouth,PL4 9JD,13/08/2012,24/11/2016,1564,"57,314","12,628","£1,583,933.00","£1,012.74",36.6,"£352,182.00",£60.00,£30.00,Can rise to £90 or £98,
Church Bank (A) (Towards Bolton Road),Bradford,,02/11/2015,28/11/2016,392,"16,296","9,786","£392,533.56","£1,001.36",41.6,"£205,501.00",£60.00,£30.00,,
"High Street, Colchester",Essex,,01/05/2014,08/11/2016,922,54414,12801,"£920,520.00",£998.39,59.0,"£266,460.00",£60.00,£30.00,Discount if paid within 14 days. Rises to £90 after £28 days,
Quinton Road Jct Park Road,Coventry,,01/08/2014,05/12/2016,857,"29,973","13,028","£848,694.34",£990.31,35.0,"£428,652.64",£60.00,£30.00,,
"Nottingham Road, Nuthall",Nottinghamshire,NG16 1BB,08/04/2014,29/11/2016,966,34955,9826,"£946,608.36",£979.93,36.2,"£319,908.19",£60.00,£30.00,Can rise to £90 or £98,
Wolverhampton Road,Wolverhampton,,01/06/2015,31/3/2016,305,,11838,,£967.73,0.0,"£295,158.00",£60.00,£30.00,,Figure not given for gross. Daily rate calculated from 2015-16 figure.
"Innovation Drive, Pendeford",Staffordshire,,18/05/2015,15/12/2016,577,19293,12641,"£551,920.01",£956.53,33.4,"£311,899.65",£60.00,£30.00,Rises to £90 after 56 days then £98 upon debt charge,Number of PCNs is to 30 October 2016 Daily rate calculated from 2015-16 figure.
Oxford Road,Manchester,,02/06/2016,13/12/2016,194,22708,0,"£179,305.00",£924.25,117.1,£0.00,£60.00,£30.00,,
New Road,Southampton,SO14 0AA,25/10/2016,03/12/2016,39,1942,0,"£35,460.00",£909.23,49.8,£0.00,£60.00,£30.00,Rises to £90 when charge certificate issued,
Willenhall Road,Wolverhampton,,01/06/2015,31/3/2016,305,,10835,,£902.70,0.0,"£275,324.00",£60.00,£30.00,,Figure not given for gross. Daily rate calculated from 2015-16 figure.
Wilmslow Road,Manchester,,04/09/2012,13/12/2016,1561,42349,7833,"£1,271,689.00",£814.66,27.1,"£248,475.00",£60.00,£30.00,,
